transnational_regions,time,tp,realization
11,1985-01-01,90.29423531868284,0
11,1985-02-01,93.47536865220735,0
11,1985-03-01,59.625196714682836,0
11,1985-04-01,80.74120426974022,0
11,1985-05-01,93.79838381361942,0
11,1985-06-01,47.11507551035156,0
11,1985-07-01,34.73771063314668,0
11,1985-08-01,20.347308709304226,0
11,1985-09-01,12.976753416873677,0
11,1985-10-01,25.737594354335062,0
11,1985-11-01,88.81731881062677,0
11,1985-12-01,83.47623332817906,0
11,1986-01-01,86.61898743266745,0
11,1986-02-01,106.29863843622095,0
11,1986-03-01,56.922966638744626,0
11,1986-04-01,99.47481914578165,0
11,1986-05-01,47.66188898629295,0
11,1986-06-01,26.904758131073386,0
11,1986-07-01,22.138266172625904,0
11,1986-08-01,33.567398249805095,0
11,1986-09-01,84.30392240962283,0
11,1986-10-01,76.55173830509477,0
11,1986-11-01,57.70126015064162,0
11,1986-12-01,52.25006875436606,0
11,1987-01-01,89.97734686369657,0
11,1987-02-01,76.38301801032335,0
11,1987-03-01,44.24966275590193,0
11,1987-04-01,76.2168230151144,0
11,1987-05-01,36.47438235566054,0
11,1987-06-01,45.953878511445886,0
11,1987-07-01,63.6872541202314,0
11,1987-08-01,41.91066924592605,0
11,1987-09-01,48.24749852703995,0
11,1987-10-01,151.89331601747477,0
11,1987-11-01,72.71690985661664,0
11,1987-12-01,97.70264502065058,0
11,1988-01-01,116.03570198427617,0
11,1988-02-01,53.63052397041753,0
11,1988-03-01,42.24524267146188,0
11,1988-04-01,103.83605141984116,0
11,1988-05-01,99.27030429240892,0
11,1988-06-01,103.59106422418803,0
11,1988-07-01,39.9680016312467,0
11,1988-08-01,20.417472386574573,0
11,1988-09-01,26.7979787604177,0
11,1988-10-01,73.29662678148041,0
11,1988-11-01,62.4306182348369,0
11,1988-12-01,20.768529567513394,0
11,1989-01-01,28.444765649079564,0
11,1989-02-01,66.85314736815056,0
11,1989-03-01,50.184985451884764,0
11,1989-04-01,111.252319589822,0
11,1989-05-01,65.30203515590766,0
11,1989-06-01,29.65048189950165,0
11,1989-07-01,26.74185569851044,0
11,1989-08-01,34.628913806974104,0
11,1989-09-01,55.52964249153137,0
11,1989-10-01,40.84579109434857,0
11,1989-11-01,133.25016503676648,0
11,1989-12-01,144.94416307324178,0
11,1990-01-01,61.02669265243351,0
11,1990-02-01,36.21888988725809,0
11,1990-03-01,31.15002768745542,0
11,1990-04-01,90.26666196036231,0
11,1990-05-01,55.23060829316395,0
11,1990-06-01,47.33610688644612,0
11,1990-07-01,22.49586583526149,0
11,1990-08-01,31.905711559000935,0
11,1990-09-01,41.3519849624662,0
11,1990-10-01,127.62667812572604,0
11,1990-11-01,66.28235960772446,0
11,1990-12-01,53.53620967482131,0
11,1991-01-01,56.38880335259946,0
11,1991-02-01,74.49074004166224,0
11,1991-03-01,101.02721890986841,0
11,1991-04-01,57.29748965372982,0
11,1991-05-01,43.73709863004186,0
11,1991-06-01,32.33401207445089,0
11,1991-07-01,26.512630929435492,0
11,1991-08-01,24.431732418465728,0
11,1991-09-01,63.57061524852037,0
11,1991-10-01,73.46905430395537,0
11,1991-11-01,72.8339986520155,0
11,1991-12-01,34.03535583915849,0
11,1992-01-01,32.45719064538969,0
11,1992-02-01,33.47551730956357,0
11,1992-03-01,49.26613214578862,0
11,1992-04-01,56.323347956635466,0
11,1992-05-01,64.3508497769126,0
11,1992-06-01,108.1913956971048,0
11,1992-07-01,28.153893204168277,0
11,1992-08-01,54.82342059303631,0
11,1992-09-01,56.48621375606733,0
11,1992-10-01,117.76788412394008,0
11,1992-11-01,40.56739682704497,0
11,1992-12-01,73.39171547217377,0
11,1993-01-01,14.697354706286015,0
11,1993-02-01,33.980830941890495,0
11,1993-03-01,38.8406985136291,0
11,1993-04-01,93.12642143782426,0
11,1993-05-01,98.81377838887641,0
11,1993-06-01,56.46888591180358,0
11,1993-07-01,26.960122006689943,0
11,1993-08-01,36.359235176674744,0
11,1993-09-01,81.28423485626283,0
11,1993-10-01,132.71141411460292,0
11,1993-11-01,63.400917032661866,0
11,1993-12-01,57.485741452958955,0
11,1994-01-01,80.00071918080323,0
11,1994-02-01,81.87418208228357,0
11,1994-03-01,16.010065928861913,0
11,1994-04-01,71.71949810045595,0
11,1994-05-01,84.65941155541013,0
11,1994-06-01,30.792132484705398,0
11,1994-07-01,18.91899574207765,0
11,1994-08-01,24.44626659549316,0
11,1994-09-01,81.59130114576357,0
11,1994-10-01,89.14907214294469,0
11,1994-11-01,68.64307029993385,0
11,1994-12-01,51.77816129341623,0
11,1995-01-01,69.83307238466679,0
11,1995-02-01,67.39126346554622,0
11,1995-03-01,42.0991174763854,0
11,1995-04-01,37.728383384028426,0
11,1995-05-01,49.82238050372359,0
11,1995-06-01,37.88614574433249,0
