time,axis_nbounds,lat,lon,time_bounds,pr
2064-05-16 12:00:00,0.5,40.56338,-2.5,2064-05-16 12:00:00,5.7128684e-05
2064-06-16 00:00:00,0.5,40.56338,-2.5,2064-06-16 00:00:00,3.9104223e-05
2064-07-16 12:00:00,0.5,40.56338,-2.5,2064-07-16 12:00:00,3.231854e-05
2065-04-16 00:00:00,0.5,40.56338,-2.5,2065-04-16 00:00:00,4.106527e-05
2065-05-16 12:00:00,0.5,40.56338,-2.5,2065-05-16 12:00:00,3.197603e-05
2065-06-16 00:00:00,0.5,40.56338,-2.5,2065-06-16 00:00:00,1.7151679e-05
2065-07-16 12:00:00,0.5,40.56338,-2.5,2065-07-16 12:00:00,3.24661e-05
2066-04-16 00:00:00,0.5,40.56338,-2.5,2066-04-16 00:00:00,3.8763697e-05
2066-05-16 12:00:00,0.5,40.56338,-2.5,2066-05-16 12:00:00,2.1717595e-05
2066-06-16 00:00:00,0.5,40.56338,-2.5,2066-06-16 00:00:00,1.6167693e-05
2066-07-16 12:00:00,0.5,40.56338,-2.5,2066-07-16 12:00:00,3.2367785e-05
2067-04-16 00:00:00,0.5,40.56338,-2.5,2067-04-16 00:00:00,4.2928325e-05
2067-05-16 12:00:00,0.5,40.56338,-2.5,2067-05-16 12:00:00,6.29361e-05
2067-06-16 00:00:00,0.5,40.56338,-2.5,2067-06-16 00:00:00,2.3765338e-05
2067-07-16 12:00:00,0.5,40.56338,-2.5,2067-07-16 12:00:00,2.9841216e-05
2068-04-16 00:00:00,0.5,40.56338,-2.5,2068-04-16 00:00:00,3.5845198e-05
2068-05-16 12:00:00,0.5,40.56338,-2.5,2068-05-16 12:00:00,4.4278993e-05
2068-06-16 00:00:00,0.5,40.56338,-2.5,2068-06-16 00:00:00,6.3545776e-05
2068-07-16 12:00:00,0.5,40.56338,-2.5,2068-07-16 12:00:00,8.918783e-06
2069-04-16 00:00:00,0.5,40.56338,-2.5,2069-04-16 00:00:00,3.1089057e-05
2069-05-16 12:00:00,0.5,40.56338,-2.5,2069-05-16 12:00:00,4.7178226e-05
2069-06-16 00:00:00,0.5,40.56338,-2.5,2069-06-16 00:00:00,5.2752413e-05
2069-07-16 12:00:00,0.5,40.56338,-2.5,2069-07-16 12:00:00,6.840801e-05
2070-04-16 00:00:00,0.5,40.56338,-2.5,2070-04-16 00:00:00,1.5584907e-05
2070-05-16 12:00:00,0.5,40.56338,-2.5,2070-05-16 12:00:00,3.6150665e-05
2070-06-16 00:00:00,0.5,40.56338,-2.5,2070-06-16 00:00:00,7.191848e-05
2070-07-16 12:00:00,0.5,40.56338,-2.5,2070-07-16 12:00:00,7.189078e-05
2071-04-16 00:00:00,0.5,40.56338,-2.5,2071-04-16 00:00:00,1.0770097e-05
2071-05-16 12:00:00,0.5,40.56338,-2.5,2071-05-16 12:00:00,1.4622728e-05
2071-06-16 00:00:00,0.5,40.56338,-2.5,2071-06-16 00:00:00,2.3223378e-05
2071-07-16 12:00:00,0.5,40.56338,-2.5,2071-07-16 12:00:00,4.2631953e-05
2072-04-16 00:00:00,0.5,40.56338,-2.5,2072-04-16 00:00:00,4.8612477e-05
2072-05-16 12:00:00,0.5,40.56338,-2.5,2072-05-16 12:00:00,1.3479919e-05
2072-06-16 00:00:00,0.5,40.56338,-2.5,2072-06-16 00:00:00,1.335905e-05
2072-07-16 12:00:00,0.5,40.56338,-2.5,2072-07-16 12:00:00,4.5933986e-05
2073-04-16 00:00:00,0.5,40.56338,-2.5,2073-04-16 00:00:00,4.5205412e-05
2073-05-16 12:00:00,0.5,40.56338,-2.5,2073-05-16 12:00:00,7.02683e-05
2073-06-16 00:00:00,0.5,40.56338,-2.5,2073-06-16 00:00:00,5.779824e-05
2073-07-16 12:00:00,0.5,40.56338,-2.5,2073-07-16 12:00:00,6.802395e-05
2074-04-16 00:00:00,0.5,40.56338,-2.5,2074-04-16 00:00:00,2.1559834e-05
2074-05-16 12:00:00,0.5,40.56338,-2.5,2074-05-16 12:00:00,2.464522e-05
2074-06-16 00:00:00,0.5,40.56338,-2.5,2074-06-16 00:00:00,7.5502925e-05
2074-07-16 12:00:00,0.5,40.56338,-2.5,2074-07-16 12:00:00,4.542482e-05
2075-04-16 00:00:00,0.5,40.56338,-2.5,2075-04-16 00:00:00,4.083931e-05
2075-05-16 12:00:00,0.5,40.56338,-2.5,2075-05-16 12:00:00,4.565798e-05
2075-06-16 00:00:00,0.5,40.56338,-2.5,2075-06-16 00:00:00,4.8902162e-05
2075-07-16 12:00:00,0.5,40.56338,-2.5,2075-07-16 12:00:00,2.0567613e-05
2076-04-16 00:00:00,0.5,40.56338,-2.5,2076-04-16 00:00:00,8.925491e-05
2076-05-16 12:00:00,0.5,40.56338,-2.5,2076-05-16 12:00:00,7.4881314e-06
2076-06-16 00:00:00,0.5,40.56338,-2.5,2076-06-16 00:00:00,1.5245985e-05
2076-07-16 12:00:00,0.5,40.56338,-2.5,2076-07-16 12:00:00,2.3996632e-05
2077-04-16 00:00:00,0.5,40.56338,-2.5,2077-04-16 00:00:00,1.296243e-05
2077-05-16 12:00:00,0.5,40.56338,-2.5,2077-05-16 12:00:00,6.58643e-05
2077-06-16 00:00:00,0.5,40.56338,-2.5,2077-06-16 00:00:00,2.4099223e-05
2077-07-16 12:00:00,0.5,40.56338,-2.5,2077-07-16 12:00:00,7.938632e-05
2078-04-16 00:00:00,0.5,40.56338,-2.5,2078-04-16 00:00:00,4.1768664e-05
2078-05-16 12:00:00,0.5,40.56338,-2.5,2078-05-16 12:00:00,7.173804e-06
2078-06-16 00:00:00,0.5,40.56338,-2.5,2078-06-16 00:00:00,2.9007437e-05
2078-07-16 12:00:00,0.5,40.56338,-2.5,2078-07-16 12:00:00,3.6191814e-05
2079-04-16 00:00:00,0.5,40.56338,-2.5,2079-04-16 00:00:00,0.000100464364
2079-05-16 12:00:00,0.5,40.56338,-2.5,2079-05-16 12:00:00,5.3300842e-05
2079-06-16 00:00:00,0.5,40.56338,-2.5,2079-06-16 00:00:00,3.1617732e-05
2079-07-16 12:00:00,0.5,40.56338,-2.5,2079-07-16 12:00:00,4.608128e-05
2080-04-16 00:00:00,0.5,40.56338,-2.5,2080-04-16 00:00:00,4.7340614e-05
2080-05-16 12:00:00,0.5,40.56338,-2.5,2080-05-16 12:00:00,4.5625595e-05
2080-06-16 00:00:00,0.5,40.56338,-2.5,2080-06-16 00:00:00,5.0138715e-05
2080-07-16 12:00:00,0.5,40.56338,-2.5,2080-07-16 12:00:00,5.119833e-05
2081-04-16 00:00:00,0.5,40.56338,-2.5,2081-04-16 00:00:00,3.3050484e-05
2081-05-16 12:00:00,0.5,40.56338,-2.5,2081-05-16 12:00:00,1.9960575e-05
2081-06-16 00:00:00,0.5,40.56338,-2.5,2081-06-16 00:00:00,3.7778107e-05
